Address,Zipcode,Date Sold,Sold Price,Bed,Bath,Square foot,SFR,Lot Size,Age of Building
1609 E Castlebrook Dr,93730," 28, 2020","1,039,000",5,3.5,"3,688",TRUE,0.33 a,2021
6734 E Harwood Ave,93727," 28, 2020","320,000",4,3,"1,881",TRUE,"6,821",8
2272 E Ryan Ave,93720," 28, 2020","36,000",3,2,"1,820",TRUE,"5,998",25
1436 E Salem Ave,93720," 28, 2020","350,000",4,2.5,"1,796",TRUE,"4,656",29
1265 W Barstow Ave,93711," 28, 2020","350,000",3,3,"1,957",TRUE,0.31 a,65
1418 E Lansing Way,93704," 28, 2020","219,000",3,2,"1,368",TRUE,"7,562",71
2382 E Desert Island Dr,93730," 27, 2020","423,000",4,3,"2,207",TRUE,"5,998",21
4733 W Mesa Ave,93722," 27, 2020","320,000",3,2,"1,703",TRUE,"6,534",23
552 E Clinton Ave,93704," 27, 2020","322,000",3,1.5,"1,785",TRUE,"7,405",94
234 N Bush Ave,93727," 27, 2020","280,000",3,2,"1,504",TRUE,"5,227",30
5005 N Van Ness Blvd,93711," 27, 2020","336,000",3,3,"2,393",TRUE,"4,007",2021
710 E Clinton Ave,93704," 27, 2020","276,000",2,1.75,"1,302",TRUE,"8,041",85
5279 E Washington Ave,93727," 27, 2020","315,000",3,2,"1,652",TRUE,"8,999",43
4069 W Providence Ave,93722," 27, 2020","270,000",3,2,"1,489",TRUE,"6,599",19
4769 E Terrace Ave,93703," 26, 2020","260,000",4,2,"1,522",TRUE,"9,748",66
112 W Vassar Ave,93705," 26, 2020","256,000",3,1.75,"1,321",TRUE,"6,952",69
2079 E Makenna Dr,93730," 26, 2020","375,000",2,2.5,"1,753",TRUE,"3,301",2021
2595 S Purdue Ave,93727," 26, 2020","335,000",5,2,"1,855",TRUE,0.41 a,10
7353 N Benedict Ave,93711," 26, 2020","737,500",4,3,"3,289",TRUE,0.41 a,2021
4545 N Kavanagh Ave,93705," 26, 2020","221,000",3,2,"1,124",TRUE,"6,198",46
1671 E Everglade Ave,93720," 26, 2020","345,000",3,3,"1,789",TRUE,"5,353",31
1961 W Santa Ana Ave,93705," 26, 2020","220,000",2,1.75,"1,529",TRUE,"3,240",2021
1441 E Andrews Ave,93704," 26, 2020","255,000",3,1.5,"1,387",TRUE,"6,851",92
746 Pottle Ave,93706," 26, 2020","160,000",4,2,"1,583",TRUE,"7,501",98
4092 W Pear Tree Ln,93722," 26, 2020","273,000",4,2.5,"1,616",TRUE,"5,100",2021
4808 E San Gabriel Ave,93726," 25, 2020","251,000",4,1.75,"1,506",TRUE,"7,000",57
6382 N Forestiere Ave,93722," 25, 2020","270,000",3,2,"1,308",TRUE,"6,242",30
4727 E Grove Ave,93725," 25, 2020","204,000",3,1,960,TRUE,"6,198",46
1696 E Dorchester Ln,93730," 25, 2020","800,000",5,5,"3,289",TRUE,"10,367",2021
11336 N Cherry Sage Ave,93730," 25, 2020","330,000",3,2,"1,301",TRUE,"2,940",9
231 E Cole Ave,93720," 25, 2020","227,500",2,2,"1,118",TRUE,"1,846",2021
96 E Thomas Ave,93728," 25, 2020","162,000",2,2,"1,295",TRUE,"6,499",100
4355 W Yale Ave,93722," 25, 2020","253,000",3,2,"1,482",TRUE,"4,199",27
2311 E Birch Ave,93720," 24, 2020","580,000",4,4,"2,871",TRUE,"9,147",23
6121 E Fountain Way,93727," 24, 2020","295,000",3,2,"1,357",TRUE,"6,934",11
11168 N Valley Dr,93730," 24, 2020","875,000",3,3,"2,846",TRUE,"9,517",2021
1512 W Robinson Ave,93705," 24, 2020","256,500",3,1,"1,224",TRUE,"7,670",68
8019 E Shields Ave,93737," 24, 2020","391,000",4,2,"2,012",TRUE,1.65 a,105
1526 W Barstow Ave,93711," 24, 2020","338,000",3,3,"1,934",TRUE,0.28 a,57
4965 E White Ave,93727," 24, 2020","261,000",3,1.75,"1,516",TRUE,0.39 a,53
5142 E Pitt Ave,93725," 24, 2020","300,000",4,2,"1,578",TRUE,"6,912",28
4152 E El Monte Way,93702," 24, 2020","167,000",3,1.5,"1,350",TRUE,"6,037",69
4152 E El Monte Way,93702," 24, 2020","167,000",3,1.5,"1,350",TRUE,"6,037",69
8153 N Cedar Ave #222,93720," 21, 2020","202,500",2,2,"1,111",TRUE,"1,393",2021
9843 N Tea Party Ln,93720," 21, 2020","660,000",4,3.75,"3,166",TRUE,0.70 a,37
5854 W Norwich Ave,93722," 21, 2020","297,000",3,2,"1,457",TRUE,"9,583",10
1423 W Cornell Ave,93705," 21, 2020","221,000",3,1.75,"1,252",TRUE,"7,562",65
1089 E Sarazen Ave,93730," 21, 2020","475,000",4,3,"2,080",TRUE,"5,998",15
4919 N Millbrook Ave #121,93726," 21, 2020","115,000",1,1,795,FALSE,892,2021
4676 W Andrews Ave,93722," 21, 2020","171,000",3,1,"1,244",TRUE,0.57 a,63
473 E Alluvial Ave #102,93720," 21, 2020","295,000",4,3,"1,798",TRUE,"3,828",2021
3780 W Della Ln,93711," 21, 2020","295,000",3,2.5,"1,622",TRUE,"3,841",2021
4459 E Austin Way,93726," 21, 2020","250,000",3,1.75,"1,398",TRUE,"6,120",61
2931 E Garland Ave,93726," 21, 2020","277,500",4,2,"1,712",TRUE,"8,646",64
5883 W Fallon Ave,93722," 21, 2020","312,000",3,2,"1,460",TRUE,"5,998",27
355 N Homsy Ave,93727," 21, 2020","285,000",3,2,"1,782",TRUE,"7,300",43
4695 E Terrace Ave,93703," 21, 2020","272,000",4,2,"1,588",TRUE,"9,700",68
5743 N Sherman Ave,93710,ug-20,"275,000",3,2,"1,594",TRUE,"8,001",2021
4654 N Chestnut Ave #137,93726,ug-20,"132,000",3,2,"1,072",TRUE,"1,498",2021
3019 E Donahoo St,93721,ug-20,"286,000",3,1.75,"2,022",TRUE,"8,751",51
668 E Blue Ridge Rd,93720,ug-20,"520,000",4,3,"2,458",TRUE,"9,147",2021
6467 N Tracy Ave,93722,ug-20,"267,000",3,2,"1,256",TRUE,"6,220",33
3292 E Sample Ave,93710,ug-20,"283,000",3,1,-1,TRUE,"9,147",44
8695 N John Albert Ave,93720,ug-20,"482,500",3,2,"2,383",TRUE,"9,901",13
1314 E Via Dorata Way,93730,ug-20,"385,000",3,3,"1,641",TRUE,-1,2021
7166 N Fruit Ave #144,93711,ug-20,"190,000",2,1.5,"1,224",TRUE,"1,006",2021
4884 E Pico Ave,93726,ug-20,"280,000",4,2.5,"2,191",TRUE,"6,616",53
2434 N 1st St,93703,ug-20,"360,000",8,4,"3,270",TRUE,"8,398",67
6821 E Cornell Ave,93727,ug-20,"380,000",4,2,"2,124",TRUE,"6,499",14
474 E Alluvial Ave,93720,ug-20,"237,000",2,2.25,"1,068",TRUE,"4,007",2021
5559 N Olinda Ave,93723,ug-20,"320,000",3,2,"2,000",TRUE,"6,298",14
9520 N Matus Ave,93720,ug-20,"425,000",3,2,"2,161",TRUE,"7,405",22
3594 W Beechwood Ave,93711,ug-20,"298,500",2,2,"1,750",TRUE,"5,998",34
1120 E La Sierra Dr,93728,ug-20,"170,000",2,1,780,TRUE,"3,750",80
6195 N West Ave,93711,ug-20,"280,000",2,1.75,"2,063",TRUE,"4,939",2021
604 W Cortland Ave,93705,ug-20,"259,000",3,1.75,"1,368",TRUE,"8,102",66
5455 N Marty Ave #191,93711,ug-20,"205,000",3,2,"1,427",TRUE,-1,2021
5264 W Fremont Ave,93722,ug-20,"235,000",2,1.75,"1,039",TRUE,"4,791",29
812 W Pine Ave,93728,ug-20,"235,000",3,1,"1,251",TRUE,"7,318",74
5941 E Montecito Ave,93727,ug-20,"361,000",4,3,"2,150",TRUE,0.33 a,51
5383 W Roberts Ave,93722,ug-20,"327,000",4,2,"2,017",TRUE,"7,139",19
2655 E Tarragon Way,93720,ug-20,"385,000",5,2,"2,165",TRUE,"6,098",2021
6230 N Tamera Ave,93711,ug-20,"425,000",4,1.75,"2,378",TRUE,"9,774",42
7395 N Benedict Ave,93711,ug-20,"450,000",4,2.5,"2,527",TRUE,0.30 a,2021
1624 N Teilman Ave,93705,ug-20,"220,000",3,1.75,"1,720",TRUE,"7,618",73
3771 Circle Dr W,93704,ug-20,"279,512",3,1.75,"1,484",TRUE,"8,119",69
4676 N Kavanagh Ave,93705,ug-20,"255,000",3,2,"1,285",TRUE,-1,2021
493 E Sierra Ave,93710,ug-20,"163,000",2,1,"1,247",TRUE,"10,193",94
171 N College Ave,93701,ug-20,"195,000",4,2,"1,485",TRUE,"4,791",108
221 N Burgan Ave,93727,ug-20,"275,000",3,2,"1,469",TRUE,"5,998",19
3266 W Anthem Dr,93711,Jul-20,"410,000",4,3,"2,378",TRUE,"4,500",2021
1348 E Richmond Ave,93720,Jul-20,"280,000",3,1.75,"1,514",TRUE,"4,704",29
2609 E Skyview Ave,93720,Jul-20,"415,000",5,2,"2,186",TRUE,"6,420",22
408 E Swallow Ct,93730,Jul-20,"532,000",4,3,"2,314",TRUE,"8,799",2021
2429 S Lotus Ave,93706,Jul-20,"45,000",3,1,910,TRUE,"7,579",70
559 S Sunnyside Ave,93727,Jul-20,"298,000",3,2,"1,691",TRUE,"7,148",7
2119 E Makenna Dr,93730,Jul-20,"345,000",2,2.5,"1,560",TRUE,-1,2021
2376 S Playa Ave,93727,Jul-20,"306,000",4,3,"2,348",TRUE,"7,797",13
8153 N Cedar Ave #203,93720,Jul-20,"200,000",2,2,"1,141",TRUE,"1,406",2021
7425 E Flint Way,93726,Jul-20,"391,000",4,3,"2,384",TRUE,"5,009",0
1348 E Richmond Ave,93720,Jul-20,"280,000",3,1.75,"1,514",TRUE,"4,704",29
7362 N Lacey Dr,93722,Jul-20,"385,000",4,2.5,"2,697",TRUE,"5,000",2021
7173 N Hazel Ave,93711,Jul-20,"260,000",3,2.5,"1,411",TRUE,"5,000",2021
1661 N State St,93722,Jul-20,"400,000",5,5,"3,167",TRUE,-1,2021
9756 N Yorktown Dr,93720,Jul-20,"802,500",4,3,"2,810",TRUE,-1,2021
10848 N Bunkerhill Dr,93730,Jul-20,"371,000",3,2,"1,466",TRUE,"7,004",15
2680 S Cedar Ave,93725,Jul-20,"175,000",6,3,"2,456",TRUE,"7,248",90
4588 N Hazel Ave,93722,Jul-20,"236,000",3,2,"1,090",TRUE,"6,098",48
6221 E Nala Dr,93727,Jul-20,"320,000",3,3,"1,641",TRUE,"2,730",0
5630 N Augusta St,93710,Jul-20,"261,000",3,1.75,"1,436",TRUE,"5,998",55
2689 E Sean Ave,93720,Jul-20,"672,500",4,4.5,"3,980",TRUE,0.26 a,2021
5578 E Edna Ave,93727,Jul-20,"315,000",4,2,"1,777",TRUE,"7,021",7
4538 E Pine Ave,93703,Jul-20,"115,000",2,1,858,TRUE,"9,670",75
3266 W Anthem Dr,93711,Jul-20,"410,000",4,3,"2,378",TRUE,"4,500",2021
10443 N Woodrow Ave,93730,Jul-20,"339,000",3,2,"1,678",TRUE,"5,301",23
1257 E Le Parc Dr,93720,Jul-20,"375,000",3,2.5,"1,857",TRUE,"5,998",2021
5647 W Indianapolis Ave,93722,Jul-20,"250,000",3,2,"1,407",TRUE,"4,748",25
